date,price,lep,planned_total_gen,ruzgar,gunes,price_independent_sales,hour,day_of_week,month,is_weekend,is_holiday,price_lag_24,price_lag_48,price_lag_168,smp_lag_24,gen_deviation_lag_24,price_volatility_24h,price_momentum_24h,price_rolling_24h_mean,price_rolling_168h_mean,demand_supply_ratio,pi_offer_ratio
2025-01-08 20:00:00+00:00,2503.29,39703,37167.65,3832.5,0.0,12113.3,20,2,1,0,0,2229.01,2139.99,2274.0,1790.0,1607.0900000000038,348.09938931137043,89.02000000000044,2453.900416666667,2483.153035714286,1.0681851506578797,0.32590099452092014
2025-01-08 21:00:00+00:00,2534.08,36279,35389.04,3857.08,0.0,12913.8,21,2,1,0,0,2650.0,2500.0,2634.45,1716.0,1389.310000000005,350.3027030326665,150.0,2460.150416666667,2484.081607142857,1.025118931767243,0.36489927674566064
2025-01-08 22:00:00+00:00,2300.01,34474,33468.33,3748.15,0.0,12014.2,22,2,1,0,0,2309.81,2424.99,2583.43,1000.0,1892.4199999999983,351.59195990847456,-115.17999999999984,2455.35125,2487.11630952381,1.0300176310670097,0.3589614730859566
2025-01-08 23:00:00+00:00,2063.38,33163,32102.96,3620.63,0.0,11814.8,23,2,1,0,0,2296.31,2200.0,2144.99,2530.05,1902.979999999996,349.0915052945866,96.30999999999995,2459.3641666666667,2490.7075000000004,1.0329878307847382,0.36801690507962254
2025-01-09 00:00:00+00:00,2140.0,32334,31170.16,3454.45,0.0,11520.6,0,3,1,0,0,1957.64,2229.0,2112.78,1957.64,2005.6899999999987,361.066267051041,-271.3599999999999,2448.0575000000003,2488.997083333333,1.03730499602838,0.36959163534497913
2025-01-09 01:00:00+00:00,2140.0,32118,31137.21,3240.45,0.0,11541.2,1,3,1,0,0,1999.98,2139.98,1799.98,2249.98,2074.3600000000006,367.3363915602325,-140.0,2442.2241666666664,2486.6159523809524,1.0314658421277267,0.37064429843590885
2025-01-09 02:00:00+00:00,2249.99,32388,31592.12,3019.26,0.0,11534.4,2,3,1,0,0,2061.0,2229.01,1889.99,2461.0,2126.040000000001,373.13151949660795,-168.01000000000022,2435.2237499999997,2482.931428571429,1.025159908233185,0.3650921466445859
2025-01-09 03:00:00+00:00,2623.0,34019,32874.52,2859.49,0.01,12416.6,3,3,1,0,0,2425.0,2493.49,2482.22,2848.47,2168.630000000001,372.928372024534,-68.48999999999978,2432.37,2479.568392857143,1.0347821114312414,0.3776852807195141
2025-01-09 04:00:00+00:00,2888.39,37130,35939.91,2760.06,1.84,13007.8,4,3,1,0,0,2424.99,2500.85,2900.01,2824.99,2273.010000000002,372.64409517506147,-75.86000000000013,2429.209166666667,2476.2648214285714,1.0330845824437944,0.3619218322518823
2025-01-09 05:00:00+00:00,3000.0,43304,39207.3,2651.23,164.13,12642.7,5,3,1,0,0,3000.0,3000.0,3000.0,3000.0,3892.989999999998,372.64409517506147,0.0,2429.209166666667,2476.2648214285714,1.1044600250457173,0.32244958337902946
